Post Office Name,ÊPincode,Districts Name,City Name,State,
Akkurti,Ê517536,Chittoor,Chittoor,Andhra Pradesh,
Akumalla,Ê518196,Kurnool,Kurnool,Andhra Pradesh,
Akunuru,Ê521245,Krishna,Krishna,Andhra Pradesh,
Akuthotapally,Ê509362,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Alamanda R S,Ê531240,Vizianagaram,Vizianagaram,Andhra Pradesh,
Alampur,Ê509152,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Alamuru,Ê533233,East Godavari,East Godavari,Andhra Pradesh,
Alamuru,Ê534126,West Godavari,West Godavari,Andhra Pradesh,
Alcot Gardens,Ê533101,East Godavari,East Godavari,Andhra Pradesh,
Algunur,Ê505533,Karimnagar,Karimnagar,Andhra Pradesh,
Alipur,Ê505330,Karimnagar,Karimnagar,Andhra Pradesh,
Alir,Ê508101,Nalgonda,Nalgonda,Andhra Pradesh,
Alla Durg,Ê502269,Medak,Medak,Andhra Pradesh,
Allagadda North,Ê518543,Kurnool,Kurnool,Andhra Pradesh,
Allavaram,Ê533217,East Godavari,East Godavari,Andhra Pradesh,
Allipur,Ê502310,Medak,Medak,Andhra Pradesh,
Allipuram,Ê530004,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
Allor,Ê503214,Nizamabad,Nizamabad,Andhra Pradesh,
Allur,Ê524315,Nellore,Nellore,Andhra Pradesh,
Allurpet,Ê524315,Nellore,Nellore,Andhra Pradesh,
Alluru,Ê509150,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Aloor,Ê501514,Ranga Reddy,Ranga Reddy,Andhra Pradesh,
Alur,Ê518395,Kurnool,Kurnool,Andhra Pradesh,
Alwal Pahad,Ê509149,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Amada Bakula,Ê509388,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Amadagur,Ê515566,Anantapur,Anantapur,Andhra Pradesh,
Amadala Valasa,Ê532185,Srikakulam,Srikakulam,Andhra Pradesh,
Amadalavalasa Gate,Ê532185,Srikakulam,Srikakulam,Andhra Pradesh,
Amadapur,Ê501504,Ranga Reddy,Ranga Reddy,Andhra Pradesh,
Amalapuram,Ê533201,East Godavari,Amalapuram,Andhra Pradesh,
Amalapuram Bus Complex,Ê533201,East Godavari,East Godavari,Andhra Pradesh,
Amalla Dinne,Ê515445,Anantapur,Anantapur,Andhra Pradesh,
Amangal,Ê509321,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Amarabad,Ê509201,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Amarapuram,Ê515281,Anantapur,Anantapur,Andhra Pradesh,
Amaravathi Guntur,Ê522020,Guntur,Guntur,Andhra Pradesh,
Amaravati Road,Ê522007,Guntur,Guntur,Andhra Pradesh,
Amarchinta,Ê509130,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Amarvoi,Ê509142,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Ambajipeta,Ê533214,East Godavari,East Godavari,Andhra Pradesh,
Ambam,Ê503235,Nizamabad,Nizamabad,Andhra Pradesh,
Ambaripet,Ê505306,Karimnagar,Karimnagar,Andhra Pradesh,
Ambedkar Nagar,Ê502103,Medak,Medak,Andhra Pradesh,
Amberpet,Ê500013,Hyderabad,Hyderabad,Andhra Pradesh,
Ameerpet,Ê500016,Hyderabad,Hyderabad,Andhra Pradesh,
Amerpeta,Ê509330,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Amidyala Mopidi,Ê515822,Anantapur,Anantapur,Andhra Pradesh,
Ammana Brolu Raparla,Ê523180,Prakasam,Prakasam,Andhra Pradesh,
Ampole,Ê532015,Srikakulam,Srikakulam,Andhra Pradesh,
Amrut Nagar,Ê508219,Nalgonda,Nalgonda,Andhra Pradesh,
Amrutalur,Ê522325,Guntur,Guntur,Andhra Pradesh,
Anajpur,Ê508290,Nalgonda,Nalgonda,Andhra Pradesh,
Anakapalle,Ê531001,Vishakhapatnam,Anakapalle,Andhra Pradesh,
Anakapalle Bazar,Ê531001,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
Anakapalle Bus Stand,Ê531001,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
Anakapalle R S,Ê531001,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
Anand Nagar,Ê500004,Hyderabad,Hyderabad,Andhra Pradesh,
Anandapeta,Ê522003,Guntur,Guntur,Andhra Pradesh,
Anandapuram,Ê530042,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
Anantapalli,Ê534111,West Godavari,West Godavari,Andhra Pradesh,
Anantapur,Ê515001,Anantapur,Anantapur,Andhra Pradesh,
Anantapur Engineering College,Ê515002,Anantapur,Anantapur,Andhra Pradesh,
Anantapuram,Ê516357,Cuddapah,Cuddapah,Andhra Pradesh,
Anantarajupeta,Ê516105,Cuddapah,Cuddapah,Andhra Pradesh,
Anantarajupuram,Ê516228,Cuddapah,Cuddapah,Andhra Pradesh,
Anantasagaram,Ê524302,Nellore,Nellore,Andhra Pradesh,
Anantavaram,Ê533222,East Godavari,East Godavari,Andhra Pradesh,
Anantavaram,Ê522301,Guntur,Guntur,Andhra Pradesh,
Anantavarappadu Guntur,Ê522014,Guntur,Guntur,Andhra Pradesh,
Anantha Giripalle,Ê501105,Ranga Reddy,Ranga Reddy,Andhra Pradesh,
Ananthaiahgiri Pally,Ê516116,Cuddapah,Cuddapah,Andhra Pradesh,
Anaparthi,Ê533342,East Godavari,East Godavari,Andhra Pradesh,
Anaparthi Old Town,Ê533342,East Godavari,East Godavari,Andhra Pradesh,
Anata Giri,Ê501201,Ranga Reddy,Ranga Reddy,Andhra Pradesh,
Andhra Kesari Nagar,Ê524004,Nellore,Nellore,Andhra Pradesh,
Andhra Mahila Sabha,Ê500044,Hyderabad,Hyderabad,Andhra Pradesh,
Andhra Nagar,Ê503215,Nizamabad,Nizamabad,Andhra Pradesh,
Andhra University,Ê530003,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
Andole,Ê502273,Medak,Medak,Andhra Pradesh,
Anemadugu,Ê524203,Nellore,Nellore,Andhra Pradesh,
Angala Kuduru,Ê522211,Guntur,Guntur,Andhra Pradesh,
Angalur,Ê521330,Krishna,Krishna,Andhra Pradesh,
Angara,Ê533307,East Godavari,East Godavari,Andhra Pradesh,
Anjapur,Ê508290,Nalgonda,Nalgonda,Andhra Pradesh,
Annanta Giri,Ê508227,Nalgonda,Nalgonda,Andhra Pradesh,
Annavaram,Ê533406,East Godavari,East Godavari,Andhra Pradesh,
Annuma Samudrmpeta,Ê524304,Nellore,Nellore,Andhra Pradesh,
Antarvedipalem,Ê533252,East Godavari,East Godavari,Andhra Pradesh,
Anthakpet,Ê505466,Karimnagar,Karimnagar,Andhra Pradesh,
Anthergaon Textiles,Ê505514,Karimnagar,Karimnagar,Andhra Pradesh,
Anumanchipalli,Ê521176,Krishna,Krishna,Andhra Pradesh,
Appannapalle,Ê533557,East Godavari,East Godavari,Andhra Pradesh,
Apparao St,Ê517325,Chittoor,Chittoor,Andhra Pradesh,
Appecherla,Ê515455,Anantapur,Anantapur,Andhra Pradesh,
Appi Katla,Ê522310,Guntur,Guntur,Andhra Pradesh,
Apsp Camp,Ê533005,East Godavari,East Godavari,Andhra Pradesh,
Apsp Camp,Ê500049,Hyderabad,Hyderabad,Andhra Pradesh,
Apsp Colony,Ê522503,Guntur,Guntur,Andhra Pradesh,
Apsp Quarters,Ê531230,Vizianagaram,Vizianagaram,Andhra Pradesh,
Araku Colony,Ê531149,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
Araku R S,Ê531151,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
Arasa Villi,Ê532401,Srikakulam,Srikakulam,Andhra Pradesh,
Aravalli,Ê534230,West Godavari,West Godavari,Andhra Pradesh,
Aravind Nagar,Ê515001,Anantapur,Anantapur,Andhra Pradesh,
Aremanipadu,Ê524119,Nellore,Nellore,Andhra Pradesh,
Armoor,Ê503224,Nizamabad,Nizamabad,Andhra Pradesh,
Armoor Bus Station,Ê503224,Nizamabad,Nizamabad,Andhra Pradesh,
Armoor Old Town,Ê503224,Nizamabad,Nizamabad,Andhra Pradesh,
Arogyavaram,Ê517330,Chittoor,Chittoor,Andhra Pradesh,
Arror,Ê508112,Nalgonda,Nalgonda,Andhra Pradesh,
Arthavidu,Ê523335,Prakasam,Prakasam,Andhra Pradesh,
Arugolanu,Ê521114,Krishna,Krishna,Andhra Pradesh,
Arugolanu,Ê534152,West Godavari,West Godavari,Andhra Pradesh,
Arugonda,Ê517129,Chittoor,Chittoor,Andhra Pradesh,
Arundal Pet,Ê520002,Krishna,Krishna,Andhra Pradesh,
Arundalpet,Ê522002,Guntur,Guntur,Andhra Pradesh,
Arundalpet,Ê522601,Guntur,Guntur,Andhra Pradesh,
Arya Nagar,Ê502220,Medak,Medak,Andhra Pradesh,
Aryapuram,Ê533104,East Godavari,East Godavari,Andhra Pradesh,
Asappannapet,Ê505173,Karimnagar,Karimnagar,Andhra Pradesh,
Ashok Nagar,Ê500020,Hyderabad,Hyderabad,Andhra Pradesh,
Ashok Nagar,Ê518005,Kurnool,Kurnool,Andhra Pradesh,
Ashok Nagar,Ê506133,Warangal,Warangal,Andhra Pradesh,
Ashwapur,Ê507116,Khammam,Khammam,Andhra Pradesh,
Asif Nagar,Ê500028,Hyderabad,Hyderabad,Andhra Pradesh,
Asifabad,Ê504293,Adilabad,Asifabad,Andhra Pradesh,
Aspari,Ê518347,Kurnool,Kurnool,Andhra Pradesh,
Aswaraopet,Ê507301,Khammam,Khammam,Andhra Pradesh,
Atchampeta,Ê522409,Guntur,Guntur,Andhra Pradesh,
Atchutapuram,Ê531011,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
Atlur,Ê516501,Cuddapah,Cuddapah,Andhra Pradesh,
Atmakur,Ê515751,Anantapur,Anantapur,Andhra Pradesh,
Atmakur,Ê518422,Kurnool,Kurnool,Andhra Pradesh,
Atmakur,Ê502292,Medak,Medak,Andhra Pradesh,
Atmakur,Ê508111,Nalgonda,Nalgonda,Andhra Pradesh,
Atmakur,Ê524322,Nellore,Nellore,Andhra Pradesh,
Atmakur,Ê506342,Warangal,Warangal,Andhra Pradesh,
Atmakur Amarchinta,Ê509131,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Atreyapuram,Ê533235,East Godavari,East Godavari,Andhra Pradesh,
Attili,Ê534134,West Godavari,West Godavari,Andhra Pradesh,
Attili Bazar,Ê534134,West Godavari,West Godavari,Andhra Pradesh,
Aukiripalli,Ê521211,Krishna,Krishna,Andhra Pradesh,
Aura Palli,Ê509363,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Autonagar,Ê530012,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
Avanigadda,Ê521121,Krishna,Krishna,Andhra Pradesh,
Avanigadda Bazar,Ê521121,Krishna,Krishna,Andhra Pradesh,
Avidi,Ê533230,East Godavari,East Godavari,Andhra Pradesh,
Avn College Road,Ê530001,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
Ayithe Palle,Ê517109,Chittoor,Chittoor,Andhra Pradesh,
Ayodyanagar,Ê520003,Krishna,Krishna,Andhra Pradesh,
Ayyavaripalle,Ê517278,Chittoor,Chittoor,Andhra Pradesh,
Aziz Nagar,Ê501504,Ranga Reddy,Ranga Reddy,Andhra Pradesh,
B K Guda,Ê500038,Hyderabad,Hyderabad,Andhra Pradesh,
B T Project,Ê515862,Anantapur,Anantapur,Andhra Pradesh,
Bacon Factory,Ê521102,Krishna,Krishna,Andhra Pradesh,
Badvel,Ê516227,Cuddapah,Cuddapah,Andhra Pradesh,
Badvel Bus Stand,Ê516227,Cuddapah,Cuddapah,Andhra Pradesh,
Bahadur Purra,Ê500264,Hyderabad,Hyderabad,Andhra Pradesh,
Baireddi Palle,Ê517415,Chittoor,Chittoor,Andhra Pradesh,
Bakaram,Ê500048,Hyderabad,Hyderabad,Andhra Pradesh,
Bakarapet,Ê517194,Chittoor,Chittoor,Andhra Pradesh,
Bala Nagar,Ê509202,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Balaji Nagar,Ê522202,Guntur,Guntur,Andhra Pradesh,
Balaji Nagar,Ê508206,Nalgonda,Nalgonda,Andhra Pradesh,
Balaji Nagar,Ê524002,Nellore,Nellore,Andhra Pradesh,
Balapanur,Ê516484,Cuddapah,Cuddapah,Andhra Pradesh,
Balaramunipeta,Ê521001,Krishna,Krishna,Andhra Pradesh,
Balathimmaya Gari,Ê516484,Cuddapah,Cuddapah,Andhra Pradesh,
Balaya Palli,Ê524129,Nellore,Nellore,Andhra Pradesh,
Balijapalle,Ê517561,Chittoor,Chittoor,Andhra Pradesh,
Baliji Peta,Ê532557,Vizianagaram,Vizianagaram,Andhra Pradesh,
Balkonda,Ê503217,Nizamabad,Balkonda,Andhra Pradesh,
Balusupadu,Ê521177,Krishna,Balusupadu,Andhra Pradesh,
Banagana Palle,Ê518124,Kurnool,Kurnool,Andhra Pradesh,
Banaganapalle,Ê518124,Kurnool,Kurnool,Andhra Pradesh,
Bandankal,Ê505407,Karimnagar,Bandankal,Andhra Pradesh,
Bandar Lanka,Ê533221,East Godavari,East Godavari,Andhra Pradesh,
Bandarupalle,Ê522021,Guntur,Guntur,Andhra Pradesh,
Bandi Atmakur,Ê518523,Kurnool,Kurnool,Andhra Pradesh,
Bandi Palem,Ê521179,Krishna,Krishna,Andhra Pradesh,
Bandla Mottu,Ê522663,Guntur,Guntur,Andhra Pradesh,
Bandlamudi,Ê523226,Prakasam,Prakasam,Andhra Pradesh,
Bangaraopet,Ê524404,Nellore,Nellore,Andhra Pradesh,
Bangaru Palem,Ê517416,Chittoor,Chittoor,Andhra Pradesh,
Banigandla Pahad,Ê507202,Khammam,Khammam,Andhra Pradesh,
Banjara Hills Hyderabad,Ê500034,Hyderabad,Hyderabad,Andhra Pradesh,
Bank Street,Ê508213,Nalgonda,Nalgonda,Andhra Pradesh,
Banswada,Ê503187,Nizamabad,Banswada,Andhra Pradesh,
Banswada Bazar,Ê503187,Nizamabad,Nizamabad,Andhra Pradesh,
Bapuji Nagar,Ê506003,Warangal,Warangal,Andhra Pradesh,
Bara E Imam,Ê502103,Medak,Medak,Andhra Pradesh,
Bardipur,Ê503231,Nizamabad,Bardipur,Andhra Pradesh,
Barkatpura,Ê500027,Hyderabad,Hyderabad,Andhra Pradesh,
Baruva,Ê532263,Srikakulam,Srikakulam,Andhra Pradesh,
Baruva R S,Ê532264,Srikakulam,Srikakulam,Andhra Pradesh,
Basant Nagar,Ê505187,Karimnagar,Karimnagar,Andhra Pradesh,
Basar,Ê504101,Adilabad,Adilabad,Andhra Pradesh,
Basavanahalli,Ê515306,Anantapur,Anantapur,Andhra Pradesh,
Basheer Bagh,Ê500001,Hyderabad,Hyderabad,Andhra Pradesh,
Basheerabad,Ê501143,Ranga Reddy,Ranga Reddy,Andhra Pradesh,
Batasingaram,Ê501528,Ranga Reddy,Ranga Reddy,Andhra Pradesh,
Batchupeta,Ê521001,Krishna,Krishna,Andhra Pradesh,
Bathala Palle,Ê515661,Anantapur,Anantapur,Andhra Pradesh,
Battilli,Ê532456,Srikakulam,Srikakulam,Andhra Pradesh,
Bayanapalle,Ê516164,Cuddapah,Cuddapah,Andhra Pradesh,
Bayaram,Ê507127,Khammam,Khammam,Andhra Pradesh,
Bayyaram,Ê507211,Khammam,Khammam,Andhra Pradesh,
Bazar Ghat,Ê500004,Hyderabad,Hyderabad,Andhra Pradesh,
Bazole,Ê533242,East Godavari,East Godavari,Andhra Pradesh,
Beat Bazar,Ê506002,Warangal,Warangal,Andhra Pradesh,
Beerappagadda,Ê500039,Hyderabad,Hyderabad,Andhra Pradesh,
Begampet,Ê505188,Karimnagar,Karimnagar,Andhra Pradesh,
Begum Bazar,Ê500012,Hyderabad,Hyderabad,Andhra Pradesh,
Begumpet,Ê500016,Hyderabad,Hyderabad,Andhra Pradesh,
Begumpet Police Lines,Ê500003,Hyderabad,Hyderabad,Andhra Pradesh,
Bejjanki,Ê505528,Karimnagar,Karimnagar,Andhra Pradesh,
Bela,Ê504324,Adilabad,Adilabad,Andhra Pradesh,
Belalgal,Ê518462,Kurnool,Kurnool,Andhra Pradesh,
Bellam Konda,Ê522411,Guntur,Guntur,Andhra Pradesh,
Bellam Palli,Ê504251,Adilabad,Adilabad,Andhra Pradesh,
Bellampalli Basti,Ê504251,Adilabad,Adilabad,Andhra Pradesh,
Bellampalli R S,Ê504251,Adilabad,Adilabad,Andhra Pradesh,
Bellavista,Ê500049,Hyderabad,Hyderabad,Andhra Pradesh,
Belu Guppa,Ê515741,Anantapur,Anantapur,Andhra Pradesh,
Benarjipeta,Ê534001,West Godavari,West Godavari,Andhra Pradesh,
Benda Pudi,Ê533409,West Godavari,West Godavari,Andhra Pradesh,
Bendamur Lanka,Ê533210,East Godavari,East Godavari,Andhra Pradesh,
Beripet,Ê524126,Nellore,Nellore,Andhra Pradesh,
Besent Road Civil Court,Ê520002,Krishna,Krishna,Andhra Pradesh,
Betamcherla,Ê518599,Kurnool,Kurnool,Andhra Pradesh,
Bethapudi,Ê522279,Guntur,Guntur,Andhra Pradesh,
Bethavolu,Ê521301,Krishna,Krishna,Andhra Pradesh,
Bhadrachalam,Ê507111,Khammam,Bhadrachalam,Andhra Pradesh,
Bhageswaram,Ê534251,West Godavari,West Godavari,Andhra Pradesh,
Bhagya Nagar,Ê504001,Adilabad,Adilabad,Andhra Pradesh,
Bhagya Nagar,Ê518004,Kurnool,Kurnool,Andhra Pradesh,
Bhainsa,Ê504103,Adilabad,Bhainsa,Andhra Pradesh,
Bhajana Mandir,Ê507101,Khammam,Khammam,Andhra Pradesh,
Bhaninagar Court Road,Ê517501,Chittoor,Chittoor,Andhra Pradesh,
Bharat Heavy Plates And V,Ê530012,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
Bharat Nagar,Ê502103,Medak,Medak,Andhra Pradesh,
Bharpet,Ê518301,Kurnool,Kurnool,Andhra Pradesh,
Bhaskar Nagar,Ê533003,East Godavari,East Godavari,Andhra Pradesh,
Bhaskarapuram Bus Stand,Ê521001,Krishna,Krishna,Andhra Pradesh,
Bhatla Penu Marru,Ê521140,Krishna,Krishna,Andhra Pradesh,
Bhatti Prolu,Ê522256,Guntur,Guntur,Andhra Pradesh,
Bhavadevara Palle,Ê521118,Krishna,Krishna,Andhra Pradesh,
Bhawan Puram,Ê521231,Krishna,Krishna,Andhra Pradesh,
Bhawani Nagar,Ê500002,Hyderabad,Hyderabad,Andhra Pradesh,
Bhawanpet,Ê503115,Nizamabad,Nizamabad,Andhra Pradesh,
Bhee Mali,Ê531241,Vizianagaram,Vizianagaram,Andhra Pradesh,
Bheemana Palle,Ê533514,East Godavari,East Godavari,Andhra Pradesh,
Bheemanipatnam,Ê531163,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
Bheemaran,Ê504204,Adilabad,Adilabad,Andhra Pradesh,
Bhemadeverapalli,Ê505471,Karimnagar,Karimnagar,Andhra Pradesh,
Bhiknoor,Ê503101,Nizamabad,Nizamabad,Andhra Pradesh,
Bhimagal,Ê503307,Nizamabad,Nizamabad,Andhra Pradesh,
Bhimavaram,Ê517106,Chittoor,Chittoor,Andhra Pradesh,
Bhimavaram,Ê534201,West Godavari,West Godavari,Andhra Pradesh,
Bhimavaram Bazar,Ê534301,West Godavari,West Godavari,Andhra Pradesh,
Bhimavaram Railway,Ê534203,West Godavari,West Godavari,Andhra Pradesh,
Bhimavarapu Kota,Ê533410,East Godavari,East Godavari,Andhra Pradesh,
Bhimeswarlayam,Ê534301,West Godavari,West Godavari,Andhra Pradesh,
Bhimgal Bus Stand,Ê503307,Nizamabad,Nizamabad,Andhra Pradesh,
Bhimpalli,Ê505101,Kurnool,Kurnool,Andhra Pradesh,
Bhogapuram,Ê531216,Vizianagaram,Vizianagaram,Andhra Pradesh,
Bhogir R S,Ê508116,Nalgonda,Nalgonda,Andhra Pradesh,
Bhoiguda,Ê500003,Hyderabad,Hyderabad,Andhra Pradesh,
Bholakpur,Ê500003,Hyderabad,Hyderabad,Andhra Pradesh,
Bhongir,Ê508116,Nalgonda,Bhongir,Andhra Pradesh,
Bhongir Ganj,Ê508116,Nalgonda,Nalgonda,Andhra Pradesh,
Bhrugu Gadda,Ê508224,Nalgonda,Nalgonda,Andhra Pradesh,
Bhuktapur,Ê504001,Adilabad,Adilabad,Andhra Pradesh,
Bhupathirao Colony,Ê507112,Khammam,Khammam,Andhra Pradesh,
Bhutpur,Ê509382,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Bibinagar,Ê508126,Nalgonda,Nalgonda,Andhra Pradesh,
Bibipet,Ê503125,Nizamabad,Nizamabad,Andhra Pradesh,
Biccavolu,Ê533343,East Godavari,East Godavari,Andhra Pradesh,
Bichukonda,Ê503306,Nizamabad,Nizamabad,Andhra Pradesh,
Bijgirishareef,Ê505475,Karimnagar,Karimnagar,Andhra Pradesh,
Bijna Palle,Ê509203,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Bijnur,Ê505475,Karimnagar,Karimnagar,Andhra Pradesh,
Bijwar,Ê509145,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
Bingine Palle,Ê523106,Prakasam,Prakasam,Andhra Pradesh,
Birkur,Ê503321,Nizamabad,Nizamabad,Andhra Pradesh,
